unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude	original order
B_unit	pine	Cp 25 3	31.51222573	-109.0012631	3488101.939	689802.5628	5/10/15 15:46	1674.249023	25
B_unit	pine	Cp 26 1	31.51230896	-109.0013439	3488111.027	689794.7201	5/10/15 15:47	1674.008789	26
B_unit	pine	Cp 27 1	31.51277709	-109.0025605	3488160.819	689678.2283	5/10/15 15:54	1674.969971	27
B_unit	pine	Cp 28  01	31.51252018	-109.0028346	3488131.862	689652.7071	5/10/15 15:57	1675.690918	28
B_unit	pine	Cp 29 3	31.51220854	-109.0030729	3488096.9	689630.7038	5/10/15 15:59	1675.690918	29
B_unit	pine	Cp 30 1	31.51198072	-109.0032614	3488071.317	689613.2677	5/10/15 16:02	1678.094238	31
B_unit	pine	Cp 30 3	31.51201911	-109.0032217	3488075.641	689616.9557	5/10/15 16:00	1675.450684	30
B_unit	pine	Cp 31 1	31.51197008	-109.0033026	3488070.065	689609.3724	5/10/15 16:02	1678.574951	32
B_unit	pine	Cp 32 1	31.51190881	-109.0032757	3488063.319	689612.0517	5/10/15 16:03	1679.05542	33
B_unit	pine	Cp 33 1	31.51182826	-109.0032469	3488054.439	689614.953	5/10/15 16:04	1676.171631	34
B_unit	pine	Cp 35 2	31.51186891	-109.0033779	3488058.719	689602.4278	5/10/15 16:06	1676.411865	36
B_unit	pine	Cp 36  1	31.51169088	-109.0036105	3488038.579	689580.6876	5/10/15 16:08	1676.652344	37
B_unit	pine	Cp 37 1	31.51168124	-109.0037163	3488037.327	689570.6602	5/10/15 16:09	1677.854004	38
B_unit	pine	Cp 38 1	31.51161728	-109.0036725	3488030.313	689574.953	5/10/15 16:09	1679.05542	39
B_unit	pine	Cp 39 1	31.51152131	-109.0036976	3488019.629	689572.7586	5/10/15 16:11	1678.574951	40
B_unit	pine	Cp 4 7	31.51178844	-109.0032742	3488049.977	689612.4381	5/10/15 16:04	1676.652344	35
B_unit	pine	Cp 40 2	31.51135543	-109.0037178	3488001.204	689571.183	5/10/15 16:12	1678.094238	41
B_unit	pine	Cp 41 2	31.51134211	-109.00365	3487999.844	689577.6424	5/10/15 16:13	1677.373291	42
B_unit	pine	Cp 43 9	31.51114195	-109.0037496	3487977.481	689568.5889	5/10/15 16:15	1675.450684	43
B_unit	pine	Cp 44 2	31.51121453	-109.0039007	3487985.267	689554.0885	5/10/15 16:16	1678.815186	44
B_unit	pine	Cp 45 1	31.51099962	-109.0039012	3487961.44	689554.4748	5/10/15 16:18	1677.133057	45
B_unit	pine	Cp 46 2	31.5110966	-109.0041283	3487971.799	689532.7123	5/10/15 16:19	1677.373291	46
B_unit	pine	Cp 47 2	31.51100566	-109.0041348	3487961.705	689532.275	5/10/15 16:20	1677.373291	47
B_unit	pine	Cp 48 2	31.51098236	-109.004297	3487958.841	689516.9174	5/10/15 16:21	1679.295898	48
B_unit	pine	cp 49 2	31.51088186	-109.0043787	3487947.558	689509.3582	5/10/15 16:21	1678.334473	49
B_unit	pine	Cp 50 1	31.51077834	-109.0045245	3487935.829	689495.7228	5/10/15 16:25	1679.776611	50
B_unit	pine	Cp 51 5	31.51076929	-109.0045657	3487934.754	689491.8322	5/10/15 16:26	1679.295898	51
B_unit	pine	Cp 52 3	31.51077867	-109.0045885	3487935.756	689489.6399	5/10/15 16:26	1679.05542	52
B_unit	pine	Cp 53 1	31.51070475	-109.0047274	3487927.319	689476.5976	5/10/15 16:28	1676.892578	53
B_unit	pine	Cp 54 2	31.5106708	-109.0047746	3487923.474	689472.184	5/10/15 16:29	1677.613525	54
B_unit	pine	Cp 55 3	31.51070165	-109.0048248	3487926.807	689467.353	5/10/15 16:29	1678.574951	55
B_unit	pine	Cp 56 2	31.51056988	-109.0048684	3487912.124	689463.4792	5/10/15 16:30	1677.854004	56
B_unit	pine	Cp 57 1	31.51056661	-109.0049408	3487911.636	689456.6074	5/10/15 16:31	1676.892578	57
B_unit	pine	Cp 58 1	31.51061305	-109.0050507	3487916.594	689446.0766	5/10/15 16:34	1679.536133	59
B_unit	pine	Cp 58 2	31.51060676	-109.004967	3487916.042	689454.0425	5/10/15 16:33	1678.334473	58
B_unit	pine	Cp 59 1	31.51061699	-109.0051076	3487916.933	689440.671	5/10/15 16:34	1679.05542	60
B_unit	pine	CP 5S	31.47346906	-109.0345452	3483748.061	686718.5249	5/12/15 17:11	1826.376465	224
B_unit	pine	Cp 60 1	31.51062512	-109.005143	3487917.773	689437.2871	5/10/15 16:37	1679.295898	61
B_unit	pine	Cp 61 1	31.51057567	-109.0053296	3487911.968	689419.6654	5/10/15 16:38	1678.334473	63
B_unit	pine	Cp 62 2	31.5105739	-109.005245	3487911.919	689427.7017	5/10/15 16:37	1678.815186	62
B_unit	pine	Cp 63 1	31.51048908	-109.0053215	3487902.382	689420.6044	5/10/15 16:39	1678.094238	64
