unit,type,ident,,Latitude,Longitude,y_proj,x_proj,comment,altitude,original order
E_unit,pool,PC8 D,,31.48351402,-109.0240077,3484879.668,687699.7001,18-MAY-15 2:26:38PM,1811.956787,468
E_unit,pool,PC8 U,,31.4840394,-109.0245005,3484937.07,687651.8341,18-MAY-15 2:33:55PM,1814.360352,469
E_unit,pool,PC9 6S12M1L 19,,31.48446905,-109.024486,3484984.728,687652.3537,18-MAY-15 12:59:17PM,1807.390625,465
E_unit,pool,PC9 D,,31.48421902,-109.0245215,3484956.948,687649.4846,18-MAY-15 12:52:24PM,1807.390625,464
E_unit,pool,PC9 U,,31.48457953,-109.0247257,3484996.565,687629.3581,18-MAY-15 12:47:14PM,1808.111572,463
E_unit,pool,PcS4M3,,31.47079809,-109.0123033,3483490.026,688837.2477,12-MAY-15 3:09:43PM,1697.080322,388
T_UNIT,pool,S,small,31.47808976,-109.0158036,3484292.387,688490.0284,12-MAY-15 5:07:11PM,1720.151855,602
E_unit,pool,S 1M,small,31.47695602,-109.0205186,3484158.602,688044.3141,12-MAY-15 11:54:53AM,1733.850342,368
E_unit,pool,S 2 1M,small,31.47113093,-109.0125337,3483526.53,688814.6928,12-MAY-15 3:23:42PM,1696.839844,390
E_unit,pool,S 2M,medium,31.4772799,-109.0183345,3484198.256,688251.1819,12-MAY-15 12:47:36PM,1730.726074,378
T_UNIT,pool,S 2m2,medium,31.47095089,-109.0124291,3483506.75,688824.9941,12-MAY-15 3:24:39PM,1694.196289,593
E_unit,pool,S 3M,medium,31.477615,-109.017908,3484236.139,688291.039,12-MAY-15 12:56:23PM,1729.524414,380
E_unit,pool,S 5 1M,small,31.47787979,-109.0145535,3484271.259,688609.2308,12-MAY-15 4:58:42PM,1716.306641,398
T_UNIT,pool,S01,small,31.47720044,-109.0132889,3484198.119,688730.7461,12-MAY-15 4:33:05PM,1707.414307,598
